,有價證券代號及名稱
935,8215　明基材
936,8222　寶一
937,8249　菱光
938,8261　富鼎
939,8271　宇瞻
940,8341　日友
941,8367　建新國際
942,8374　羅昇
943,8404　百和興業-KY
944,8411　福貞-KY
945,8422　可寧衛
946,8429　金麗-KY
947,8438　昶昕
948,8442　威宏-KY
949,8443　阿瘦
950,8454　富邦媒
951,8462　柏文
952,8463　潤泰材
953,8464　億豐
954,8466　美吉吉-KY
955,8467　波力-KY
956,8473　山林水
957,8476　台境
958,8478　東哥遊艇
959,8481　政伸
960,8482　商億-KY
961,8488　吉源-KY
962,8499　鼎炫-KY
963,8926　台汽電
964,8940　新天地
965,8996　高力
966,9802　鈺齊-KY
967,9902　台火
968,9904　寶成
969,9905　大華
970,9906　欣巴巴
971,9907　統一實
972,9908　大台北
973,9910　豐泰
974,9911　櫻花
975,9912　偉聯
976,9914　美利達
977,9917　中保科
978,9918　欣天然
979,9919　康那香
980,9921　巨大
981,9924　福興
982,9925　新保
983,9926　新海
984,9927　泰銘
985,9928　中視
986,9929　秋雨
987,9930　中聯資源
988,9931　欣高
989,9933　中鼎
990,9934　成霖
991,9935　慶豐富
992,9937　全國
993,9938　百和
994,9939　宏全
995,9940　信義
996,9941　裕融
997,9942　茂順
998,9943　好樂迪
999,9944　新麗
1000,9945　潤泰新
1001,9946　三發地產
1002,9955　佳龍
1003,9958　世紀鋼
1004,上市認購(售)權證
1005,030001　富邦金群益42購01
1006,030002　大立光群益42購01
1007,030003　奇鋐群益3A購09
1008,030004　德律群益43購01
1009,030005　緯創群益3A購14
1010,030006　弘憶股群益3A購01
1011,030007　京鼎群益43購01
1012,030008　創意群益3B購08
1013,030009　辛耘群益3A購05
1014,030010　辛耘群益3A購06
1015,030011　材料群益3A購10
1016,030012　崇越群益3A購02
1017,030013　瑞儀群益3B購02
1018,030014　世紀鋼群益3C購03
1019,030015　臺股指群益3A購39
1020,030016　臺股指群益3A購40
1021,030017　臺股指群益3A購41
1022,030018　臺股指群益3A購42
1023,030019　臺股指群益3A購43
